,index,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment,Cluster
886,886,573.0,279,159,982668.0,1,4,4,144,Can't loose them,1
887,887,570.0,10,154,1004918.0,4,4,4,444,Champions,0
888,888,569.0,5,1818,7480449.0,4,4,4,444,Champions,4
889,889,568.0,158,22,50639.0,1,2,2,122,Hibernating,1
890,890,565.0,12,1028,3822541.0,4,4,4,444,Champions,0
891,891,562.0,4,358,1520127.0,4,4,4,444,Champions,0
892,892,548.0,250,8,20052.0,1,1,1,111,Hibernating,1
893,893,542.0,16,136,247682.0,4,4,4,444,Champions,5
894,894,537.0,276,13,67660.0,1,1,2,112,Hibernating,1
895,895,532.0,55,37,82142.0,2,2,2,222,Hibernating,5
896,896,519.0,54,176,425084.0,2,4,4,244,Can't loose them,5
897,897,518.0,11,110,394009.0,4,4,4,444,Champions,5
898,898,517.0,3,219,581263.0,4,4,4,444,Champions,0
899,899,515.0,375,3,5701.0,1,1,1,111,Hibernating,1
900,900,512.0,174,26,60476.0,1,2,2,122,Hibernating,1
901,901,510.0,109,6,19676.0,2,1,1,211,Hibernating,5
902,902,503.0,5,61,118755.0,4,3,3,433,Champions,5
903,903,501.0,24,31,70444.0,3,2,2,322,Potential loyalists,5
904,904,483.0,90,109,94209.0,2,4,3,243,Can't loose them,5
905,905,482.0,9,95,231113.0,4,3,4,434,Champions,5
906,906,475.0,10,63,129620.0,4,3,3,433,Champions,5
907,907,473.0,31,215,543889.0,3,4,4,344,Loyal customers,5
908,908,469.0,36,30,73898.0,3,2,2,322,Potential loyalists,5
909,909,467.0,132,75,77673.0,2,3,2,232,At risk,5
910,910,466.0,55,99,109997.0,2,3,3,233,At risk,5
911,911,459.0,22,69,3224042.0,3,3,4,334,Loyal customers,0
912,912,455.0,5,45,90726.0,4,3,3,433,Champions,5
913,913,451.0,10,720,2133743.0,4,4,4,444,Champions,0
914,914,445.0,5,50,314931.0,4,3,4,434,Champions,5
915,915,438.0,267,10,17244.0,1,1,1,111,Hibernating,1
916,916,430.0,68,82,176674.0,2,3,3,233,At risk,5
917,917,423.0,237,47,115511.0,1,3,3,133,At risk,1
918,918,422.0,4,154,214162.0,4,4,4,444,Champions,5
919,919,400.0,271,27,43628.0,1,2,2,122,Hibernating,1
920,920,398.0,74,103,208013.0,2,4,3,243,Can't loose them,5
921,921,396.0,5,420,548440.0,4,4,4,444,Champions,0
922,922,393.0,34,123,86503.0,3,4,3,343,Loyal customers,5
923,923,377.0,4,59,130678.0,4,3,3,433,Champions,5
924,924,374.0,96,27,51582.0,2,2,2,222,Hibernating,5
925,925,365.0,369,12,27371.0,1,1,1,111,Hibernating,1
926,926,355.0,16,58,67068.0,4,3,2,432,Champions,5
927,927,354.0,3,78,161072.0,4,3,3,433,Champions,5
928,928,351.0,38,149,494826.0,3,4,4,344,Loyal customers,5
929,929,348.0,60,54,103103.0,2,3,3,233,At risk,5
930,930,345.0,4,306,822597.0,4,4,4,444,Champions,0
931,931,339.0,16,365,551253.0,4,4,4,444,Champions,0
932,932,332.0,4,199,492592.0,4,4,4,444,Champions,5
933,933,331.0,1,4580,4466106.0,4,4,4,444,Champions,3
934,934,329.0,57,215,1189651.0,2,4,4,244,Can't loose them,0
935,935,319.0,24,273,2308964.0,3,4,4,344,Loyal customers,0
936,936,310.0,32,155,335926.0,3,4,4,344,Loyal customers,5
937,937,303.0,10,254,575673.0,4,4,4,444,Champions,0
938,938,299.0,16,203,1149304.0,4,4,4,444,Champions,0
939,939,287.0,128,35,83193.0,2,2,2,222,Hibernating,5
940,940,281.0,29,151,329227.0,3,4,4,344,Loyal customers,5
941,941,278.0,4,496,1396584.0,4,4,4,444,Champions,0
942,942,277.0,16,616,1608655.0,4,4,4,444,Champions,0
943,943,274.0,43,156,2011928.0,3,4,4,344,Loyal customers,0
944,944,269.0,11,87,350458.0,4,3,4,434,Champions,5
945,945,268.0,151,98,200790.0,1,3,3,133,At risk,5
946,946,262.0,1,220,458759.0,4,4,4,444,Champions,0
947,947,259.0,19,35,77407.0,4,2,2,422,Potential loyalists,5
948,948,257.0,19,121,451870.0,4,4,4,444,Champions,5
949,949,255.0,149,43,266350.0,1,3,4,134,At risk,5
950,950,254.0,332,47,101474.0,1,3,3,133,At risk,1
951,951,242.0,25,50,111655.0,3,3,3,333,Loyal customers,5
952,952,240.0,34,38,83074.0,3,2,2,322,Potential loyalists,5
953,953,239.0,68,387,745760.0,2,4,4,244,Can't loose them,0
954,954,238.0,90,99,207962.0,2,3,3,233,At risk,5
955,955,236.0,58,30,59362.0,2,2,2,222,Hibernating,5
956,956,233.0,11,224,547037.0,4,4,4,444,Champions,0
957,957,232.0,24,285,766691.0,3,4,4,344,Loyal customers,0
958,958,226.0,15,91,192194.0,4,3,3,433,Champions,5
959,959,221.0,3,101,273666.0,4,4,4,444,Champions,5
960,960,217.0,53,65,163374.0,2,3,3,233,At risk,5
961,961,214.0,61,101,221218.0,2,4,4,244,Can't loose them,5
962,962,208.0,29,54,266897.0,3,3,4,334,Loyal customers,5
963,963,199.0,212,67,1126330.0,1,3,4,134,At risk,1
964,964,197.0,40,9,19257.0,3,1,1,311,Promising,5
965,965,194.0,235,85,253024.0,1,3,4,134,At risk,1
966,966,193.0,6,95,245289.0,4,3,4,434,Champions,5
967,967,179.0,23,438,1068073.0,3,4,4,344,Loyal customers,0
968,968,176.0,263,20,46932.0,1,2,2,122,Hibernating,1
969,969,168.0,9,182,424920.0,4,4,4,444,Champions,5
970,970,165.0,80,56,111488.0,2,3,3,233,At risk,5
971,971,159.0,30,49,119829.0,3,3,3,333,Loyal customers,5
972,972,158.0,20,461,1500798.0,3,4,4,344,Loyal customers,0
973,973,157.0,23,273,662579.0,3,4,4,344,Loyal customers,0
974,974,155.0,60,259,579052.0,2,4,4,244,Can't loose them,0
975,975,154.0,92,34,85411.0,2,2,2,222,Hibernating,5
976,976,153.0,131,62,131589.0,2,3,3,233,At risk,5
977,977,151.0,15,17,14983.0,4,1,1,411,New customers,5
978,978,145.0,20,102,212349.0,3,4,4,344,Loyal customers,5
979,979,143.0,143,37,68427.0,2,2,2,222,Hibernating,5
980,980,142.0,80,147,311756.0,2,4,4,244,Can't loose them,5
981,981,141.0,65,17,35580.0,2,1,1,211,Hibernating,5
982,982,139.0,29,281,302273.0,3,4,4,344,Loyal customers,0
983,983,134.0,67,34,18915.0,2,2,1,221,Hibernating,5
984,984,125.0,96,142,335427.0,2,4,4,244,Can't loose them,5
985,985,124.0,337,148,283173.0,1,4,4,144,Can't loose them,1
986,986,123.0,24,52,544504.0,3,3,4,334,Loyal customers,5
987,987,113.0,36,342,508503.0,3,4,4,344,Loyal customers,0
988,988,111.0,23,209,674016.0,3,4,4,344,Loyal customers,0
989,989,110.0,29,150,375459.0,3,4,4,344,Loyal customers,5
990,990,108.0,4,35,68029.0,4,2,2,422,Potential loyalists,5
991,991,107.0,23,300,1499405.0,3,4,4,344,Loyal customers,0
992,992,106.0,16,224,724773.0,4,4,4,444,Champions,0
993,993,104.0,18,408,919351.0,4,4,4,444,Champions,0
994,994,103.0,54,161,391713.0,2,4,4,244,Can't loose them,5
995,995,94.0,73,36,108842.0,2,2,3,223,Hibernating,5
996,996,93.0,73,60,251417.0,2,3,4,234,At risk,5
997,997,88.0,17,20,41312.0,4,2,2,422,Potential loyalists,5
998,998,87.0,12,353,1230748.0,4,4,4,444,Champions,0
999,999,85.0,23,187,435921.0,3,4,4,344,Loyal customers,5
1000,1000,80.0,22,173,465037.0,3,4,4,344,Loyal customers,5
1001,1001,74.0,80,36,896714.0,2,2,4,224,Hibernating,5
1002,1002,72.0,1,420,1870543.0,4,4,4,444,Champions,0
1003,1003,71.0,43,107,526849.0,3,4,4,344,Loyal customers,5
1004,1004,70.0,38,234,795826.0,3,4,4,344,Loyal customers,0
1005,1005,67.0,26,287,804536.0,3,4,4,344,Loyal customers,0
1006,1006,62.0,3,117,229979.0,4,4,4,444,Champions,5
1007,1007,60.0,16,41,87913.0,4,2,3,423,Potential loyalists,5
1008,1008,57.0,4,183,392340.0,4,4,4,444,Champions,5
1009,1009,56.0,25,699,14385095.0,3,4,4,344,Loyal customers,4
1010,1010,54.0,68,36,81494.0,2,2,2,222,Hibernating,5
1011,1011,52.0,309,25,61000.0,1,2,2,122,Hibernating,1
1012,1012,51.0,79,109,1385284.0,2,4,4,244,Can't loose them,5
1013,1013,41.0,36,124,287355.0,3,4,4,344,Loyal customers,5
1014,1014,38.0,73,64,201327.0,2,3,3,233,At risk,5
1015,1015,35.0,16,100,356353.0,4,3,4,434,Champions,5
1016,1016,31.0,10,82,183732.0,4,3,3,433,Champions,5
1017,1017,28.0,130,219,518776.0,2,4,4,244,Can't loose them,5
1018,1018,16.0,4,256,586496.0,4,4,4,444,Champions,0
1019,1019,13.0,58,248,718751.0,2,4,4,244,Can't loose them,0
1020,1020,11.0,34,131,771439.0,3,4,4,344,Loyal customers,5
1021,1021,10.0,25,58,331601.0,3,3,4,334,Loyal customers,5
1022,1022,4.0,19,72,176613.0,4,3,3,433,Champions,5
1023,1023,2.0,4,182,553704.0,4,4,4,444,Champions,5
1024,1024,4372.0,44,70,262820.0,3,3,4,334,Loyal customers,5
1025,1025,3986.0,1,92,277629.0,4,3,4,434,Champions,5
1026,1026,3969.0,4,218,718602.0,4,4,4,444,Champions,0
1027,1027,3916.0,19,43,90555.0,4,3,3,433,Champions,5
1028,1028,3865.0,13,83,51622.0,4,3,2,432,Champions,5
1029,1029,3787.0,10,27,62453.0,4,2,2,422,Potential loyalists,5
1030,1030,3784.0,1,76,267858.0,4,3,4,434,Champions,5
1031,1031,3518.0,30,117,117848.0,3,4,3,343,Loyal customers,5
1032,1032,3426.0,62,22,46490.0,2,2,2,222,Hibernating,5
1033,1033,3366.0,21,78,129287.0,3,3,3,333,Loyal customers,5
1034,1034,3331.0,44,12,23600.0,3,1,1,311,Promising,5
1035,1035,3239.0,53,82,130496.0,2,3,3,233,At risk,5
1036,1036,3077.0,26,86,75908.0,3,3,2,332,Loyal customers,5
1037,1037,2825.0,18,34,103454.0,4,2,3,423,Potential loyalists,5
1038,1038,2718.0,47,101,91172.0,3,4,3,343,Loyal customers,5
1039,1039,2381.0,23,111,215157.0,3,4,4,344,Loyal customers,5
1040,1040,2258.0,17,73,171364.0,4,3,3,433,Champions,5
1041,1041,1944.0,20,41,24536.0,3,2,1,321,Potential loyalists,5
1042,1042,1903.0,31,78,184820.0,3,3,3,333,Loyal customers,5
1043,1043,1864.0,4,144,369874.0,4,4,4,444,Champions,5
1044,1044,1773.0,7,60,587068.0,4,3,4,434,Champions,5
1045,1045,1667.0,22,152,79154.0,3,4,2,342,Loyal customers,5
1046,1046,1643.0,86,16,103568.0,2,1,3,213,Hibernating,5
1047,1047,1618.0,61,229,79035.0,2,4,2,242,Can't loose them,5
1048,1048,1526.0,45,43,116595.0,3,3,3,333,Loyal customers,5
1049,1049,1420.0,65,106,409986.0,2,4,4,244,Can't loose them,5
1050,1050,1353.0,80,29,220734.0,2,2,4,224,Hibernating,5
1051,1051,1010.0,27,197,343530.0,3,4,4,344,Loyal customers,5
1052,1052,797.0,31,43,165080.0,3,3,3,333,Loyal customers,5
1053,1053,757.0,46,134,1312740.0,3,4,4,344,Loyal customers,0
1054,1054,699.0,2,1673,990656.0,4,4,4,444,Champions,0
1055,1055,488.0,5,305,1610541.0,4,4,4,444,Champions,0
1056,1056,405.0,135,78,233792.0,2,3,4,234,At risk,5
1057,1057,61.0,96,38,91062.0,2,2,3,223,Hibernating,5
1058,1058,53.0,75,58,157322.0,2,3,3,233,At risk,5
1059,1059,14.0,53,126,281630.0,2,4,4,244,Can't loose them,5
1060,1060,4371.0,4,754,280608.0,4,4,4,444,Champions,0
1061,1061,4342.0,73,78,268376.0,2,3,4,234,At risk,5
1062,1062,4318.0,32,26,57308.0,3,2,2,322,Potential loyalists,5
1063,1063,4308.0,200,68,168488.0,1,3,3,133,At risk,1
1064,1064,4293.0,5,119,265717.0,4,4,4,444,Champions,5
1065,1065,4291.0,129,97,212526.0,2,3,4,234,At risk,5
1066,1066,4287.0,87,31,276968.0,2,2,4,224,Hibernating,5
1067,1067,4286.0,18,189,899996.0,4,4,4,444,Champions,0
1068,1068,4275.0,10,34,65488.0,4,2,2,422,Potential loyalists,5
1069,1069,4264.0,117,61,126415.0,2,3,3,233,At risk,5
1070,1070,4252.0,30,196,147813.0,3,4,3,343,Loyal customers,5
1071,1071,4240.0,20,46,27100.0,3,3,1,331,Loyal customers,5
1072,1072,4237.0,330,39,49084.0,1,2,2,122,Hibernating,1
1073,1073,4231.0,8,108,347988.0,4,4,4,444,Champions,5
1074,1074,4214.0,24,142,334777.0,3,4,4,344,Loyal customers,5
1075,1075,4210.0,258,25,54812.0,1,2,2,122,Hibernating,1
1076,1076,4199.0,289,19,48944.0,1,2,2,122,Hibernating,1
1077,1077,4196.0,360,5,9554.0,1,1,1,111,Hibernating,1
1078,1078,4188.0,155,19,8013.0,1,2,1,121,Hibernating,1
1079,1079,4169.0,236,32,32603.0,1,2,1,121,Hibernating,1
1080,1080,4165.0,363,40,20425.0,1,2,1,121,Hibernating,1
1081,1081,4164.0,15,58,65468.0,4,3,2,432,Champions,5
1082,1082,4160.0,123,81,91833.0,2,3,3,233,At risk,5
1083,1083,4147.0,16,295,527431.0,4,4,4,444,Champions,0
1084,1084,4140.0,372,48,15607.0,1,3,1,131,At risk,1
1085,1085,4137.0,32,104,59530.0,3,4,2,342,Loyal customers,5
1086,1086,4127.0,73,71,67670.0,2,3,2,232,At risk,5
1087,1087,4117.0,6,77,50415.0,4,3,2,432,Champions,5
1088,1088,4101.0,4,80,52241.0,4,3,2,432,Champions,5
1089,1089,4094.0,22,38,22742.0,3,2,1,321,Potential loyalists,5
1090,1090,4078.0,32,109,111110.0,3,4,3,343,Loyal customers,5
1091,1091,4073.0,367,26,63664.0,1,2,2,122,Hibernating,1
1092,1092,4053.0,6,15,194506.0,4,1,3,413,New customers,5
1093,1093,4041.0,27,121,370713.0,3,4,4,344,Loyal customers,5
1094,1094,4039.0,48,23,14644.0,3,2,1,321,Potential loyalists,5
1095,1095,4038.0,3,61,53399.0,4,3,2,432,Champions,5
1096,1096,4037.0,50,61,25546.0,3,3,1,331,Loyal customers,5
1097,1097,4017.0,23,111,100470.0,3,4,3,343,Loyal customers,5
1098,1098,4005.0,161,12,20827.0,1,1,1,111,Hibernating,1
1099,1099,4004.0,22,82,86564.0,3,3,3,333,Loyal customers,5
1100,1100,4001.0,97,156,152238.0,2,4,3,243,Can't loose them,5
1101,1101,3997.0,13,310,489644.0,4,4,4,444,Champions,0
1102,1102,3988.0,20,412,449940.0,3,4,4,344,Loyal customers,0
1103,1103,3984.0,6,190,376828.0,4,4,4,444,Champions,5
1104,1104,3983.0,179,35,83694.0,1,2,2,122,Hibernating,1
1105,1105,3977.0,20,97,243040.0,3,3,4,334,Loyal customers,5
1106,1106,3945.0,17,142,307925.0,4,4,4,444,Champions,5
1107,1107,3942.0,39,115,322182.0,3,4,4,344,Loyal customers,5
1108,1108,3927.0,5,78,188788.0,4,3,3,433,Champions,5
1109,1109,3920.0,43,68,434140.0,3,3,4,334,Loyal customers,5
1110,1110,3918.0,67,117,255356.0,2,4,4,244,Can't loose them,5
1111,1111,3910.0,11,91,313107.0,4,3,4,434,Champions,5
1112,1112,3877.0,23,312,570428.0,3,4,4,344,Loyal customers,0
1113,1113,3864.0,86,50,123126.0,2,3,3,233,At risk,5
1114,1114,3860.0,61,252,322560.0,2,4,4,244,Can't loose them,5
1115,1115,3859.0,102,23,156106.0,2,2,3,223,Hibernating,5
1116,1116,3858.0,110,214,195492.0,2,4,3,243,Can't loose them,5
1117,1117,3851.0,9,411,461028.0,4,4,4,444,Champions,0
1118,1118,3837.0,20,106,66667.0,3,4,2,342,Loyal customers,5
1119,1119,3832.0,198,42,30599.0,1,3,1,131,At risk,1
1120,1120,3827.0,270,25,23474.0,1,2,1,121,Hibernating,1
1121,1121,3826.0,25,25,69531.0,3,2,2,322,Potential loyalists,5
1122,1122,3819.0,2,392,315213.0,4,4,4,444,Champions,0
1123,1123,3808.0,309,11,21042.0,1,1,1,111,Hibernating,1
1124,1124,3806.0,35,87,76076.0,3,3,2,332,Loyal customers,5
1125,1125,3797.0,76,14,38046.0,2,1,1,211,Hibernating,5
1126,1126,3778.0,80,14,30130.0,2,1,1,211,Hibernating,5
1127,1127,3766.0,16,54,40327.0,4,3,2,432,Champions,5
1128,1128,3754.0,152,134,348584.0,1,4,4,144,Can't loose them,5
1129,1129,3721.0,11,58,302485.0,4,3,4,434,Champions,5
1130,1130,3697.0,18,87,48715.0,4,3,2,432,Champions,5
1131,1131,3695.0,24,111,256648.0,3,4,4,344,Loyal customers,5
1132,1132,3693.0,13,467,724558.0,4,4,4,444,Champions,0
1133,1133,3689.0,18,132,74115.0,4,4,2,442,Champions,5
1134,1134,3684.0,51,16,201487.0,3,1,3,313,Promising,5
1135,1135,3679.0,15,215,188645.0,4,4,3,443,Champions,5
1136,1136,3673.0,157,183,101195.0,1,4,3,143,Can't loose them,1
1137,1137,3672.0,30,407,1542360.0,3,4,4,344,Loyal customers,0
1138,1138,3668.0,303,11,45397.0,1,1,2,112,Hibernating,1
1139,1139,3661.0,20,199,133804.0,3,4,3,343,Loyal customers,5
1140,1140,3657.0,2,470,841631.0,4,4,4,444,Champions,0
1141,1141,3653.0,79,55,186949.0,2,3,3,233,At risk,5
1142,1142,3643.0,29,69,71118.0,3,3,2,332,Loyal customers,5
1143,1143,3642.0,9,135,249529.0,4,4,4,444,Champions,5
1144,1144,3634.0,133,94,294747.0,2,3,4,234,At risk,5
1145,1145,3629.0,43,114,304510.0,3,4,4,344,Loyal customers,5
1146,1146,3619.0,5,112,41254.0,4,4,2,442,Champions,5
1147,1147,3615.0,4,57,47807.0,4,3,2,432,Champions,5
1148,1148,3591.0,25,472,416700.0,3,4,4,344,Loyal customers,0
1149,1149,3581.0,176,57,183213.0,1,3,3,133,At risk,1
1150,1150,3552.0,32,229,486928.0,3,4,4,344,Loyal customers,5
1151,1151,3548.0,19,20,34831.0,4,2,1,421,Potential loyalists,5
1152,1152,3544.0,53,9,16358.0,2,1,1,211,Hibernating,5
1153,1153,3525.0,8,35,81677.0,4,2,2,422,Potential loyalists,5
1154,1154,3520.0,48,30,36735.0,3,2,1,321,Potential loyalists,5
1155,1155,3517.0,34,418,1332668.0,3,4,4,344,Loyal customers,0
1156,1156,3511.0,20,48,119034.0,3,3,3,333,Loyal customers,5
1157,1157,3502.0,36,162,371588.0,3,4,4,344,Loyal customers,5
1158,1158,3496.0,37,27,73894.0,3,2,2,322,Potential loyalists,5
1159,1159,3492.0,29,140,302757.0,3,4,4,344,Loyal customers,5
1160,1160,3490.0,29,143,348160.0,3,4,4,344,Loyal customers,5
1161,1161,3489.0,14,295,560276.0,4,4,4,444,Champions,0
1162,1162,3468.0,4,98,155405.0,4,3,3,433,Champions,5
1163,1163,3460.0,14,22,50075.0,4,2,2,422,Potential loyalists,5
1164,1164,3452.0,12,234,168209.0,4,4,3,443,Champions,5
1165,1165,3445.0,51,52,123112.0,3,3,3,333,Loyal customers,5
1166,1166,3443.0,47,44,189031.0,3,3,3,333,Loyal customers,5
1167,1167,3442.0,86,49,185111.0,2,3,3,233,At risk,5
1168,1168,3427.0,13,148,258866.0,4,4,4,444,Champions,5
1169,1169,3420.0,40,42,103922.0,3,3,3,333,Loyal customers,5
1170,1170,3412.0,88,7,14875.0,2,1,1,211,Hibernating,5
1171,1171,3406.0,110,16,21431.0,2,1,1,211,Hibernating,5
1172,1172,3405.0,137,86,190603.0,2,3,3,233,At risk,5
1173,1173,3400.0,24,249,579088.0,3,4,4,344,Loyal customers,0
1174,1174,3393.0,2,44,68836.0,4,3,2,432,Champions,5
1175,1175,3389.0,4,77,177644.0,4,3,3,433,Champions,5
1176,1176,3388.0,81,208,389144.0,2,4,4,244,Can't loose them,5
1177,1177,3385.0,22,83,109708.0,3,3,3,333,Loyal customers,5
1178,1178,3380.0,277,9,50104.0,1,1,2,112,Hibernating,1
1179,1179,3372.0,31,151,111196.0,3,4,3,343,Loyal customers,5
1180,1180,3362.0,65,69,27245.0,2,3,1,231,At risk,5
1181,1181,3360.0,2,99,64113.0,4,3,2,432,Champions,5
1182,1182,3356.0,16,101,56705.0,4,4,2,442,Champions,5
1183,1183,3349.0,13,159,108853.0,4,4,3,443,Champions,5
1184,1184,3329.0,43,378,1528947.0,3,4,4,344,Loyal customers,0
1185,1185,3327.0,37,116,282177.0,3,4,4,344,Loyal customers,5
1186,1186,3324.0,32,165,396865.0,3,4,4,344,Loyal customers,5
1187,1187,3310.0,11,189,438436.0,4,4,4,444,Champions,5
1188,1188,3303.0,193,15,38216.0,1,1,1,111,Hibernating,1
1189,1189,3300.0,144,67,150294.0,1,3,3,133,At risk,5
1190,1190,3299.0,104,102,95733.0,2,4,3,243,Can't loose them,5
1191,1191,3298.0,174,98,69302.0,1,3,2,132,At risk,1
1192,1192,3291.0,2,284,170524.0,4,4,3,443,Champions,0
1193,1193,3283.0,18,190,262786.0,4,4,4,444,Champions,5
1194,1194,3276.0,12,158,190347.0,4,4,3,443,Champions,5
1195,1195,3274.0,58,26,26400.0,2,2,1,221,Hibernating,5
1196,1196,3272.0,58,145,100142.0,2,4,3,243,Can't loose them,5
1197,1197,3269.0,31,222,777635.0,3,4,4,344,Loyal customers,0
1198,1198,3252.0,18,69,201032.0,4,3,3,433,Champions,5
1199,1199,3249.0,87,357,1037376.0,2,4,4,244,Can't loose them,0
1200,1200,3240.0,32,28,79455.0,3,2,2,322,Potential loyalists,5
1201,1201,3236.0,365,46,35727.0,1,3,1,131,At risk,1
1202,1202,3232.0,18,225,705704.0,4,4,4,444,Champions,0
1203,1203,3214.0,9,308,704483.0,4,4,4,444,Champions,0
1204,1204,3205.0,48,585,412943.0,3,4,4,344,Loyal customers,0
1205,1205,3202.0,5,30,154140.0,4,2,3,423,Potential loyalists,5
1206,1206,3189.0,20,32,23720.0,3,2,1,321,Potential loyalists,5
1207,1207,3184.0,10,208,159914.0,4,4,3,443,Champions,5
1208,1208,3180.0,18,69,156867.0,4,3,3,433,Champions,5
1209,1209,3165.0,30,117,283322.0,3,4,4,344,Loyal customers,5
1210,1210,3162.0,275,23,41551.0,1,2,2,122,Hibernating,1
1211,1211,3157.0,264,14,27916.0,1,1,1,111,Hibernating,1
1212,1212,3153.0,183,26,63119.0,1,2,2,122,Hibernating,1
1213,1213,3139.0,62,85,54245.0,2,3,2,232,At risk,5
1214,1214,3138.0,76,53,21308.0,2,3,1,231,At risk,5
1215,1215,3124.0,128,57,125377.0,2,3,3,233,At risk,5
1216,1216,3123.0,27,87,197170.0,3,3,3,333,Loyal customers,5
1217,1217,3106.0,109,251,310288.0,2,4,4,244,Can't loose them,5
1218,1218,3096.0,24,77,168003.0,3,3,3,333,Loyal customers,5
1219,1219,3082.0,22,168,119251.0,3,4,3,343,Loyal customers,5
1220,1220,3076.0,109,84,173413.0,2,3,3,233,At risk,5
1221,1221,3071.0,9,95,211349.0,4,3,4,434,Champions,5
1222,1222,3066.0,36,29,78688.0,3,2,2,322,Potential loyalists,5
1223,1223,3061.0,76,53,100727.0,2,3,3,233,At risk,5
1224,1224,3058.0,64,146,320997.0,2,4,4,244,Can't loose them,5
1225,1225,3053.0,52,170,99767.0,3,4,3,343,Loyal customers,5
1226,1226,3046.0,179,33,17486.0,1,2,1,121,Hibernating,1
1227,1227,3044.0,7,202,458410.0,4,4,4,444,Champions,5
1228,1228,3039.0,88,14,32861.0,2,1,1,211,Hibernating,5
1229,1229,3037.0,198,40,88620.0,1,2,3,123,Hibernating,1
1230,1230,3015.0,18,369,5138859.0,4,4,4,444,Champions,4
1231,1231,3012.0,27,71,140047.0,3,3,3,333,Loyal customers,5
1232,1232,3006.0,37,232,273260.0,3,4,4,344,Loyal customers,5
1233,1233,3005.0,13,172,273686.0,4,4,4,444,Champions,5
1234,1234,3004.0,19,62,23362.0,4,3,1,431,Champions,5
1235,1235,2995.0,61,210,225109.0,2,4,4,244,Can't loose them,5
1236,1236,2987.0,91,33,72480.0,2,2,2,222,Hibernating,5
1237,1237,2986.0,75,102,86584.0,2,4,3,243,Can't loose them,5
1238,1238,2979.0,34,97,45106.0,3,3,2,332,Loyal customers,5
1239,1239,2978.0,83,228,163300.0,2,4,3,243,Can't loose them,5
1240,1240,2972.0,12,53,83408.0,4,3,2,432,Champions,5
1241,1241,2970.0,33,81,89813.0,3,3,3,333,Loyal customers,5
1242,1242,2957.0,35,234,195058.0,3,4,3,343,Loyal customers,5
1243,1243,2956.0,12,92,106483.0,4,3,3,433,Champions,5
1244,1244,2951.0,25,77,256785.0,3,3,4,334,Loyal customers,5
1245,1245,2947.0,37,10,20362.0,3,1,1,311,Promising,5
1246,1246,2943.0,15,318,525295.0,4,4,4,444,Champions,0
1247,1247,2937.0,76,12,45717.0,2,1,2,212,Hibernating,5
1248,1248,2930.0,5,16,39061.0,4,1,1,411,New customers,5
1249,1249,2929.0,18,37,80726.0,4,2,2,422,Potential loyalists,5
1250,1250,2917.0,170,8,18412.0,1,1,1,111,Hibernating,1
1251,1251,2916.0,32,109,103808.0,3,4,3,343,Loyal customers,5
1252,1252,2906.0,8,133,192433.0,4,4,3,443,Champions,5
1253,1253,2904.0,72,45,93077.0,2,3,3,233,At risk,5
1254,1254,2900.0,18,124,91129.0,4,4,3,443,Champions,5
1255,1255,2897.0,177,2,4859.0,1,1,1,111,Hibernating,1
1256,1256,2894.0,67,123,529764.0,2,4,4,244,Can't loose them,5
1257,1257,2887.0,212,91,195538.0,1,3,3,133,At risk,1
1258,1258,2884.0,10,662,335176.0,4,4,4,444,Champions,0
1259,1259,2877.0,190,35,72124.0,1,2,2,122,Hibernating,1
1260,1260,2861.0,3,115,952138.0,4,4,4,444,Champions,5
1261,1261,2859.0,45,66,86813.0,3,3,3,333,Loyal customers,5
1262,1262,2856.0,34,97,100801.0,3,3,3,333,Loyal customers,5
1263,1263,2852.0,4,111,250576.0,4,4,4,444,Champions,5
1264,1264,2834.0,52,15,38536.0,3,1,1,311,Promising,5
1265,1265,2830.0,96,69,157257.0,2,3,3,233,At risk,5
1266,1266,2797.0,18,89,234945.0,4,3,4,434,Champions,5
1267,1267,2791.0,77,38,126900.0,2,2,3,223,Hibernating,5
1268,1268,2787.0,190,30,30389.0,1,2,1,121,Hibernating,1
1269,1269,2780.0,219,18,98340.0,1,2,3,123,Hibernating,1
1270,1270,2775.0,62,29,37344.0,2,2,1,221,Hibernating,5
1271,1271,2774.0,15,48,171170.0,4,3,3,433,Champions,5
1272,1272,2763.0,60,39,140341.0,2,2,3,223,Hibernating,5
1273,1273,2758.0,82,10,27904.0,2,1,1,211,Hibernating,5
1274,1274,2745.0,68,180,176559.0,2,4,3,243,Can't loose them,5
1275,1275,2740.0,33,84,230547.0,3,3,4,334,Loyal customers,5
1276,1276,2738.0,175,10,26358.0,1,1,1,111,Hibernating,1
1277,1277,2731.0,66,65,164893.0,2,3,3,233,At risk,5
1278,1278,2729.0,270,39,109698.0,1,2,3,123,Hibernating,1
1279,1279,2703.0,48,385,234201.0,3,4,4,344,Loyal customers,0
1280,1280,2698.0,37,506,414385.0,3,4,4,344,Loyal customers,0
1281,1281,2697.0,89,130,123687.0,2,4,3,243,Can't loose them,5
1282,1282,2691.0,13,140,217497.0,4,4,4,444,Champions,5
1283,1283,2670.0,26,183,553934.0,3,4,4,344,Loyal customers,5
1284,1284,2635.0,17,114,57860.0,4,4,2,442,Champions,5
1285,1285,2628.0,227,61,76084.0,1,3,2,132,At risk,1
1286,1286,2622.0,199,22,63996.0,1,2,2,122,Hibernating,1
